baseMean,log2FoldChange,lfcSE,padj,id,gene_name,phase
75.6199660340109,1.43478715923887,0.282225303549642,1.34611858620787e-06,NM_015617,PYGO1,SvsG0G1
335.788303455041,1.4344140311658,0.141476752983163,4.5994470707830305e-23,NM_016245,HSD17B11,SvsG0G1
27.1562872641597,1.43427029177661,0.431049818502551,0.0020489350128861,NR_033770,ROCK1P1,SvsG0G1
116.230021470542,1.43265632154632,0.266626141512363,3.03302634764506e-07,NR_036437,KCNC4,SvsG0G1
3120.53415657489,1.43264708295285,0.0538967199735335,1.9008892496952002e-153,NM_130847,AMOTL1,SvsG0G1
420.330531186274,1.43226243517617,0.149140702854436,8.47528637740121e-21,NM_199451,ZNF365,SvsG0G1
25.4926325542049,1.43113121533036,0.391914966035438,0.0006617527359727,NR_027425,FAM66D,SvsG0G1
149.76755595199,1.42934797056722,0.216353785146204,2.0948167766431e-10,NM_001166287,RGMA,SvsG0G1
37.3384778273749,1.42777977273363,0.380892797447605,0.0004642080018358,NM_001005463,EBF3,SvsG0G1
281.796272288473,1.42711464740637,0.197888330055554,3.46207951721785e-12,NM_032811,TBRG1,SvsG0G1
55.3900027786834,1.42573864610422,0.296383574065323,5.13369993074862e-06,NM_001122961,C1orf194,SvsG0G1
172.628693992324,1.42361233087425,0.228700704468635,2.3360483681508903e-09,NM_144629,RFTN2,SvsG0G1
1296.07046787536,1.4230579604997,0.0807192353609904,8.05641086401139e-68,NM_015150,RFTN1,SvsG0G1
9370.84146128877,1.41998969779195,0.0623657330554904,1.1438430740438502e-112,NM_183419,RNF19A,SvsG0G1
387.182479772685,1.418183165422,0.189675465725596,5.0617512388366e-13,NM_003904,ZNF259,SvsG0G1
93.2211913279689,1.41767350029888,0.247956692746968,4.61612698845111e-08,NM_002747,MAPK4,SvsG0G1
794.945630268823,1.41639868499547,0.0928743053361895,5.95918579313945e-51,NM_001197107,SCHIP1,SvsG0G1
220.142579126842,1.41533432773314,0.164973689004177,8.34885138327644e-17,NM_032630,CINP,SvsG0G1
396.465426805167,1.41347538063353,0.123564702298434,4.39819245610236e-29,NM_006226,PLCL1,SvsG0G1
55.4209229079417,1.41234189363505,0.325695903691699,4.36144237625844e-05,NR_027715,FLJ14107,SvsG0G1
15.2685641868449,1.41222763215493,0.450105646032715,0.0037837609312998,NR_027322,LOC283070,SvsG0G1
97.8732083398237,1.41083873602066,0.25697158884317,1.61694733224173e-07,NM_020844,KIAA1456,SvsG0G1
1763.53077797745,1.40944896150364,0.0898416234734665,7.23490885795526e-54,NM_000786,CYP51A1,SvsG0G1
26.0195669934394,1.4094220832477,0.408585928977843,0.0013562033241468,NM_001080400,PLIN4,SvsG0G1
4065.95239358847,1.40908849304548,0.0659230335452314,2.29104701456527e-99,NM_001621,AHR,SvsG0G1
51.5158857613188,1.40775462846779,0.385441686443814,0.0006602052753691,NM_001037675,NBPF9,SvsG0G1
1121.11115432209,1.40649844879487,0.0802909973101886,5.71307084580382e-67,NM_018047,RBM22,SvsG0G1
1351.38553150064,1.40642093419449,0.078005765196502,6.81286074849066e-71,NM_152594,SPRED1,SvsG0G1
989.80776601018,1.40641265221268,0.095039487290778,5.0161118353044005e-48,NM_014876,JOSD1,SvsG0G1
28.5153623206612,1.4051212114384,0.378884654823711,0.0005375862158122,NR_027003,DKFZp434J0226,SvsG0G1
517.368903386091,1.40374027056982,0.123201483809743,7.32642403503804e-29,NM_199418,PRCP,SvsG0G1
100.076242716222,1.40332251535748,0.238703889322931,1.83396979911043e-08,NR_046827,LNX1-AS2,SvsG0G1
239.507270658925,1.40290685587409,0.16448324206064,1.27366536301098e-16,NM_001193493,SLC1A4,SvsG0G1
41.391113812074,1.40264442135669,0.402435725136777,0.0011977106948577,NR_047651,LOC100289137,SvsG0G1
1415.10042294125,1.40158595686236,0.112333482919763,2.1013222122206897e-34,NM_001267779,ZNF850,SvsG0G1
200.114143207168,1.40076694230575,0.20121281382531,1.9647265888343497e-11,NM_014487,ZNF330,SvsG0G1
132.763299590594,1.40064467067429,0.20595668291841,5.82378724073754e-11,NM_001242740,LOC100507462,SvsG0G1
774.495860465875,1.39969186843257,0.0923395977378998,2.40422694155213e-50,NM_003059,SLC22A4,SvsG0G1
418.363628312589,1.39945233528481,0.122052206749307,3.23548208619062e-29,NR_027253,LOC285696,SvsG0G1
603.520918261157,1.39914605704796,0.147959822081205,3.41603510010906e-20,NM_001163377,QPCTL,SvsG0G1
160.693786860421,1.39863047491423,0.218780955522635,8.233683230108811e-10,NM_152587,C11orf65,SvsG0G1
1434.31775136002,1.39856431780669,0.105358348950161,7.90223706735628e-39,NM_030780,SLC25A32,SvsG0G1
768.190970339011,1.39771985695762,0.0964639439455857,4.38968385148123e-46,NM_001083536,FGD3,SvsG0G1
34.385104086817,1.39551945821802,0.359014817939672,0.0002735143682854,NR_036539,LOC644656,SvsG0G1
251.30171823841,1.39257117401441,0.197782399211288,1.1479789055443299e-11,NM_024829,PLBD1,SvsG0G1
459.20539578316,1.39248057737446,0.135753208040375,1.3991306984717302e-23,NM_153321,PMP22,SvsG0G1
132.052735216463,1.3924692307754,0.219448117283721,1.10900586275653e-09,NM_002358,MAD2L1,SvsG0G1
317.844872103083,1.3897422877749,0.152769164535208,9.06932427257205e-19,NM_001012716,C18orf56,SvsG0G1
518.924682305149,1.3878138552415,0.112803006004405,1.73420714164664e-33,NM_014481,APEX2,SvsG0G1
244.379125091328,1.38728115497626,0.175202226067888,1.79184453971121e-14,NM_002237,KCNG1,SvsG0G1
2336.57759847246,1.38711118523851,0.0623628982687782,1.53784424707604e-107,NM_001660,ARF4,SvsG0G1
28.0039382255245,1.38675877104081,0.375082272878563,0.0005603304103618,NM_002253,KDR,SvsG0G1
576.771102228982,1.38645140522739,0.123910011851981,7.22236582727869e-28,NM_033425,DIXDC1,SvsG0G1
310.144323050649,1.38636910462772,0.149221477829581,1.5758340940709202e-19,NM_001034838,KCNIP1,SvsG0G1
315.821706334102,1.38590637258027,0.156548964511732,7.91906121167257e-18,NM_020810,TRMT5,SvsG0G1
295.152245033711,1.38504386641932,0.176734050124422,3.37266774605514e-14,NM_020169,LXN,SvsG0G1
28.0270968214503,1.38432696625858,0.414086158994671,0.0019426398465728,NM_016591,GCNT4,SvsG0G1
682.51882415069,1.38364857690662,0.0983630041489971,1.72636075967962e-43,NM_001042426,CENPA,SvsG0G1
1077.10129320906,1.38277510491293,0.090369112611229,2.77967763734863e-51,NM_003318,TTK,SvsG0G1
78.0894944601232,1.38210007891075,0.26802458387534,9.29335227144124e-07,NM_001195032,C6orf99,SvsG0G1
111.06720875511,1.38178129736143,0.234950240855472,1.81122962100504e-08,NM_001145432,C4orf52,SvsG0G1
31.5797564580197,1.37984444995601,0.369489982670547,0.0004890694162634,NM_001553,IGFBP7,SvsG0G1
154.149687489695,1.37948896519179,0.195903822695516,1.1427226169713398e-11,NM_139316,AMPH,SvsG0G1
169.874385725848,1.37779722860942,0.290461411102872,7.04499132878038e-06,NM_001796,CDH8,SvsG0G1
312.030277042723,1.37673513481983,0.15947498747545,5.29819948750482e-17,NM_052827,CDK2,SvsG0G1
43.8152543003076,1.37560840890341,0.323018907056195,6.07374757997199e-05,NM_153226,SLC35G1,SvsG0G1
756.628692532978,1.37469906209699,0.0955449280996669,1.87783520836093e-45,NM_001039753,EML6,SvsG0G1
63.3085997136379,1.37448857935587,0.305480001492719,2.13460035728032e-05,NM_080653,ATP6V1E2,SvsG0G1
30.0342625814123,1.37398315604561,0.381426907410761,0.0007911502936013,NR_004405,LAMB2P1,SvsG0G1
58.4388865719441,1.37268272723574,0.319692864185625,5.23831145159348e-05,NM_138768,MYEOV,SvsG0G1
1534.56295769118,1.37140962482841,0.0710706029053008,4.21988834321177e-81,NM_003299,HSP90B1,SvsG0G1
244.049453556689,1.36960330372946,0.177929637299487,9.76048968445335e-14,NM_032270,LRRC8C,SvsG0G1
7035.1592444358,1.36892412060109,0.0424813904139488,3.33947546247709e-225,NM_148174,AZIN1,SvsG0G1
28.8848458897389,1.36746125036543,0.428972453083683,0.0032324575970041,NR_026835,FLJ37201,SvsG0G1
98.7133112010985,1.36672805383636,0.267469620715321,1.17975310106192e-06,NR_002305,PDIA3P,SvsG0G1
20013.9720332903,1.36497939041938,0.0523618797084841,1.34447404955907e-147,NM_002392,MDM2,SvsG0G1
893.872554031055,1.36407710947091,0.0861275430657004,6.879973519923439e-55,NM_018410,HJURP,SvsG0G1
82.3944078796597,1.3639443155256,0.263302691675808,8.25789509014175e-07,NM_145172,WDR63,SvsG0G1
73.5100369104945,1.36389439534104,0.282077883089044,4.56187624393687e-06,NM_006570,RRAGA,SvsG0G1
86.2341392821077,1.36286500611463,0.251927382695845,2.49722390151257e-07,NR_040022,LOC100289495,SvsG0G1
46.2840737932637,1.36253922316555,0.376172905505196,0.0007361135465661,NM_001171,ABCC6,SvsG0G1
90.9322978130733,1.36216847759139,0.290042695120963,8.77140414689225e-06,NR_027270,ANKRD20A11P,SvsG0G1
3158.78880555064,1.36050755951614,0.0533815886329569,4.19526816105022e-141,NM_001135811,FAM60A,SvsG0G1
42.0638383484155,1.36043141365069,0.355392367530223,0.0003434860837693,NM_001381,DOK1,SvsG0G1
15.780088840919,1.3602149552338,0.450118266063318,0.0054077203722339,NM_152860,SP7,SvsG0G1
1213.78174238556,1.35939543269154,0.0890730720945331,5.06694876859874e-51,NM_023934,FUNDC2,SvsG0G1
147.673833383161,1.35873620558737,0.202576334329211,1.0855825793087301e-10,NM_144711,KLHL23,SvsG0G1
5108.45728902849,1.35853356609203,0.0735182636726715,1.96737593861212e-74,NM_018685,ANLN,SvsG0G1
888.628963324341,1.35849331522424,0.145945718099071,1.34370781132464e-19,NM_030954,RNF170,SvsG0G1
172.675399237577,1.3576154022387,0.205871824348274,2.26809250988476e-10,NM_004264,MED21,SvsG0G1
221.252359864017,1.3573841255627,0.19037423828931,6.17519014442559e-12,NM_138801,GALM,SvsG0G1
302.120201487937,1.35707735630136,0.211153174899114,6.6372334501338e-10,NM_001657,AREG,SvsG0G1
54.1681649442229,1.35663555073066,0.352600149943073,0.0003187166200726,NM_182496,CCDC38,SvsG0G1
2542.42725892142,1.35624457251138,0.0743122953969144,1.26894058547556e-72,NM_001430,EPAS1,SvsG0G1
21.8483429017085,1.35571563416972,0.407461803065532,0.0020498814526772,NM_201453,CBWD3,SvsG0G1
276.319566575716,1.35434191596699,0.147679957075067,4.6537026933447805e-19,NM_024544,MUL1,SvsG0G1
465.799541846014,1.35360649716298,0.123896138032574,1.28829593633187e-26,NM_152313,SLC36A4,SvsG0G1
976.089340271844,1.35312204397476,0.0841658944174113,1.5754253820576799e-56,NM_001093,ACACB,SvsG0G1
422.810613690049,1.35227778208356,0.124450821330031,2.44127718518532e-26,NM_001159936,EBNA1BP2,SvsG0G1
67.812213823116,1.35205828359885,0.285403437789288,7.2535225477818e-06,NM_198535,ZNF699,SvsG0G1
215.627988139536,1.3518077539484,0.166586878016629,3.8055462865838406e-15,NM_020923,ZDBF2,SvsG0G1
507.415919905357,1.35101950591792,0.179671804881865,3.70643535614681e-13,NM_004388,CTBS,SvsG0G1
25.248443367447,1.35079548240885,0.413808858349615,0.0025221700705161,NR_001587,AURKAPS1,SvsG0G1
177.358135668015,1.35041693048909,0.195329944625963,2.7218063562354898e-11,NM_175856,CHSY3,SvsG0G1
595.415262711876,1.34880912213903,0.112264293221532,5.63251040930325e-32,NM_019610,RBMXL1,SvsG0G1
42.5140501693956,1.34879632651667,0.331024427686203,0.0001301193143659,NM_031947,SLC25A2,SvsG0G1
272.232135852776,1.34836010398949,0.149380456144663,1.70403385401361e-18,NM_001166292,PTCH2,SvsG0G1
3314.47812911585,1.34812710371679,0.0712834635038956,6.230938794738979e-78,NR_034015,LOC100131060,SvsG0G1
1458.37285765637,1.34772445293018,0.0979661587743233,1.23321919335457e-41,NM_001161574,MAFF,SvsG0G1
98.8273843994204,1.3453574110684,0.273897112215407,3.14143889039858e-06,NM_130897,DYNLRB2,SvsG0G1
6.5749817394824,1.34466039027234,0.473237337265827,0.0092134601609637,NM_024015,HOXB4,SvsG0G1
226.235291656664,1.34451807943999,0.250498196472894,3.13028821999794e-07,NM_001170783,FAM122C,SvsG0G1
139.503022219005,1.34420699757242,0.197828622044823,6.05388148197929e-11,NR_034150,LOC730227,SvsG0G1
662.257809025347,1.34407593500711,0.177029577289745,2.15713124482599e-13,NM_001145317,DSN1,SvsG0G1
880.731281339395,1.34338211797498,0.0884642829411346,1.5982781814338e-50,NM_001244926,PRPF4,SvsG0G1
417.133305927599,1.34231538311585,0.121751483691391,4.39356152785231e-27,NM_172344,KCNG3,SvsG0G1
767.476689047296,1.34197225084894,0.126750647750796,4.65164280561486e-25,NR_038977,FLJ35282,SvsG0G1
3490.39088736416,1.34184848853683,0.0605627064691741,1.01888135570838e-106,NM_001252507,C14orf132,SvsG0G1
368.729181634634,1.34171555645695,0.132714028308224,6.15295790271557e-23,NM_000216,KAL1,SvsG0G1
6.29660076090918,1.34161206933526,0.473836386165785,0.0094807842845281,NM_138786,TM4SF18,SvsG0G1
76.5705063630016,1.34109044371324,0.291250281842457,1.33389381664036e-05,NM_001195201,CCDC107,SvsG0G1
5549.85397026501,1.3409863958384,0.0502711904906468,1.59450945997969e-154,NM_001145098,SKIL,SvsG0G1
3924.28227150432,1.34060496659636,0.0552207884810622,4.841449649601729e-128,NM_001168280,WWTR1,SvsG0G1
528.525671715837,1.34056379360578,0.152827599231429,1.60062225620161e-17,NM_002970,SAT1,SvsG0G1
51.440650695387,1.34042547318073,0.309859188915175,4.55666560223368e-05,NM_015237,KIAA1107,SvsG0G1
102.770349220203,1.33713033699252,0.300260349888844,2.62180897065766e-05,NM_182500,C2orf50,SvsG0G1
661.989374466309,1.33700506997232,0.129498920084574,7.07772459353509e-24,NM_024065,PDCL3,SvsG0G1
242.215739799194,1.33693560015248,0.223590384875629,1.01911291772563e-08,NM_019051,MRPL50,SvsG0G1
12.6585577490618,1.33596862835199,0.459578615943451,0.0076128188623695,NM_001122853,MYOZ3,SvsG0G1
54.0505064983636,1.33498197316759,0.311298221013742,5.35777087654163e-05,NM_001143957,GPR63,SvsG0G1
1138.77952954595,1.33474967572006,0.0848769940897974,4.01168405270592e-54,NM_133480,TADA3,SvsG0G1
176.5759915687,1.33310545820694,0.208297746197255,7.86351064934562e-10,NM_023016,SOWAHC,SvsG0G1
1118.28270159418,1.33217098570748,0.0843618268688718,1.4375740276852302e-54,NM_015123,FRMD4B,SvsG0G1
530.932072732894,1.33096764325869,0.139381857098706,1.4204387415703e-20,NM_001256891,SRI,SvsG0G1
214.760970375451,1.32992482094234,0.202360020167268,2.62294650753026e-10,NM_003676,DEGS1,SvsG0G1
73.1826195408696,1.32956535117247,0.286641435087609,1.14520708858835e-05,NM_024506,GLB1L,SvsG0G1
364.429265901154,1.32928665685754,0.128921257208761,8.1115451930118e-24,NM_024094,DSCC1,SvsG0G1
52.7755064701249,1.32830079171982,0.345319451345948,0.0003198307106587,NM_001008723,CCDC147,SvsG0G1
51.2566439698753,1.32822490835257,0.333861474802849,0.0001906275065659,NM_145247,SFR1,SvsG0G1
292.342821369164,1.3280146400291,0.225207801733612,1.65520007320694e-08,NM_018190,BBS7,SvsG0G1
1845.77153022456,1.32680135346423,0.0828972319402592,4.91787516011003e-56,NM_213603,ZNF789,SvsG0G1
27.7371429061977,1.32637735199701,0.393854429992073,0.0017898015825251,NM_144576,COQ10A,SvsG0G1
522.388813034509,1.32637055483094,0.108353887744505,3.6857786626788e-33,NM_016041,DERL2,SvsG0G1
121.656904232926,1.32614432092224,0.266645403553786,2.32406326751558e-06,NM_198158,MITF,SvsG0G1
912.943215275645,1.325418824886,0.0939714424364561,1.0284496687318299e-43,NM_004947,DOCK3,SvsG0G1
107.543572979352,1.3250538167912,0.290272127910054,1.59161634450117e-05,NM_007057,ZWINT,SvsG0G1
824.684228133041,1.32363974485966,0.0900679436829039,2.2349295801032004e-47,NM_001142704,FAM111B,SvsG0G1
33.0569673099341,1.32339179287047,0.364339448263326,0.0007098495347186,NR_038834,LOC100505989,SvsG0G1
61.431072999758,1.32065708509764,0.32505369986747,0.0001363991723763,NM_033004,NLRP1,SvsG0G1
4442.4478670326,1.32027792938463,0.0508875380401017,3.26291193310446e-146,NM_005655,KLF10,SvsG0G1
81.7842202196236,1.32017007104173,0.255220062807085,8.56644854741749e-07,NM_001010898,SLC6A17,SvsG0G1
76799.4464151282,1.32008453366398,0.0420773285693314,1.7814245679481297e-213,NM_032043,BRIP1,SvsG0G1
1082.96854566166,1.31929843406064,0.10386573316033,1.24389178537196e-35,NR_027341,LINC00475,SvsG0G1
439.807728898807,1.31861734264214,0.160935046866019,2.01549896320299e-15,NM_004483,GCSH,SvsG0G1
159.79899472387,1.31814562053885,0.189568683056387,2.0777796097426198e-11,NR_038885,LOC100506385,SvsG0G1
2128.15761530189,1.31751922694914,0.0912824574577868,9.7954101293533e-46,NM_001165899,PDE4D,SvsG0G1
1812.06287608045,1.31715848368239,0.0917990108360039,3.3189687838073304e-45,NM_001198842,CCT2,SvsG0G1
24.390041276864,1.31520654320671,0.389213016708558,0.0017206899704381,NM_031461,CRISPLD1,SvsG0G1
203.552748202975,1.31489039881373,0.185405307394683,8.062510053141689e-12,NM_014321,ORC6,SvsG0G1
117.494798202185,1.31360708243542,0.223683304294628,1.901131601089e-08,NM_020950,KIAA1614,SvsG0G1
4522.53779104477,1.31324571872955,0.0786863027787395,7.1468787230339e-61,NM_005139,ANXA3,SvsG0G1
1828.1187255186,1.31168653090584,0.094271890659125,1.45244018975546e-42,NM_001136265,IFFO2,SvsG0G1
1506.86993171583,1.31128791842444,0.0754393066224104,5.89573362578141e-66,NM_006530,YEATS4,SvsG0G1
16.2608440005414,1.31088270973151,0.450176926295931,0.0075128094483731,NM_139174,ADAD2,SvsG0G1
1527.5000748529,1.31066049134043,0.12272650198096,1.77817631735878e-25,NM_032315,SLC25A33,SvsG0G1
10086.3715968927,1.31061805948684,0.05412516794756,2.16006792945805e-127,NM_018948,ERRFI1,SvsG0G1
56.0661118518869,1.31055459758966,0.314044901980886,8.6832894820828e-05,NM_004418,DUSP2,SvsG0G1
65.7099707119291,1.30904121576698,0.273745195000391,5.88079282218465e-06,NM_004617,TM4SF4,SvsG0G1
2208.0228140363,1.30891846624671,0.0919295766478222,1.57456666044911e-44,NM_003921,BCL10,SvsG0G1
74.1367578399648,1.30886855530627,0.268926258372528,3.90891606994144e-06,NM_170724,PKHD1,SvsG0G1
1810.46931835336,1.30805499489278,0.0648366962356554,1.41563764305513e-88,NM_004315,ASAH1,SvsG0G1
7747.70423008776,1.30798616591462,0.0383468892988751,2.92031126332616e-252,NM_001769,CD9,SvsG0G1
75.1134895490619,1.30705376637987,0.273661539306436,6.0431964744761e-06,NM_001195228,FAM64A,SvsG0G1
69.6183492071193,1.30692505169558,0.320466104717721,0.0001282997134868,NM_020152,C21orf7,SvsG0G1
63.1339927085879,1.30593706332521,0.277260328988439,8.2258916118196e-06,NM_153487,MDGA1,SvsG0G1
528.231577506618,1.30404996304319,0.111654061029964,2.8401247715005598e-30,NM_053274,GLMN,SvsG0G1
79.3416749225506,1.30403462842738,0.291465348125815,2.3927138595177e-05,NM_138378,FDXACB1,SvsG0G1
1349.32667039493,1.30370706475822,0.113291791938794,2.01734549150344e-29,NM_018471,ZC3H15,SvsG0G1
45.6692329050786,1.30242930914909,0.379814389051784,0.0014535732102288,NM_199336,FAHD2B,SvsG0G1
467.941508102687,1.30235545769647,0.126104971528871,6.86320806896462e-24,NM_015393,PARM1,SvsG0G1
290.11340575757,1.30163589805316,0.144779875014033,2.35449468405311e-18,NM_001253827,GALNT14,SvsG0G1
6827.61049207151,1.30130799025077,0.0484234733971107,8.04498390227615e-157,NM_005708,GPC6,SvsG0G1
1678.25400087464,1.30095971181271,0.0992604262568308,7.05814631370291e-38,NM_002893,RBBP7,SvsG0G1
